"","title","singer","pc","hc"
"412","Scream","2NE1",5,2
"413","Seattle Alone","볼빨간사춘기",4,2
"414","Senorita","(여자)아이들",5,2
"415","Sexy Lady","장우영",5,2
"416","SEXY LOVE","티아라",1,1
"417","Sexy, Free & Single","SUPER JUNIOR (슈퍼주니어)",5,2
"418","Shadow (그림자)","비스트",1,1
"419","SHAKE IT","씨스타",2,1
"420","Shall We Dance","블락비 (Block B)",4,2
"421","She (Feat. Beenzino)","Zion.T",4,2
"422","She (Hidden Track No.V 1월 선정곡)","잔나비",4,2
"423","Shine Your Light","박효신",1,2
"424","Shut Up & Groove (Feat. DEAN)","헤이즈 (Heize)",4,2
"425","Shut Up (Feat. 유희열)","언니쓰",2,1
"426","SIGNAL","TWICE (트와이스)",2,1
"427","Sing For You","EXO",2,1
"428","Snapping","청하",2,1
"429","So Wonderful","레이디스 코드",5,1
"430","SOFA","Crush",4,2
"431","SOLO","C-CLOWN",4,2
"432","SOLO","제니 (JENNIE)",2,1
"433","Solo (Feat. Hoody)","박재범",4,2
"434","Solo (Remix) (Prod. by 박재범, Cha Cha Malone) (Feat. 박재범, 로꼬)","예지",5,2
"435","SOLO DAY","B1A4",5,2
"436","Somebody","15& (박지민, 백예린)",2,2
"437","Someday (피쳐링. 윤도현 Of YB)","리쌍",5,2
"438","Something","걸스데이",2,1
"439","SoulMate (Feat. 아이유)","지코 (ZICO)",2,1
"440","Special (Feat. 제니 of BLACKPINK)","이하이",5,2
"441","Special Girl (Feat. Bumkey)","인피니트H",1,1
"442","Stand Up (Feat. 마마무)","베이식 (Basick)",4,2
"443","Starlight (Feat. DEAN)","태연 (TAEYEON)",5,2
"444","Stay","EXO",4,2
"445","STAY","BLACKPINK",4,2
"446","Stay With Me (Feat. G-Dragon Of Bigbang)","태양",5,2
"447","Stigma","방탄소년단",4,2
"448","STYLE","라니아",4,2
"449","Summer Time (자리비움)","다이나믹 듀오",2,2
"450","Sunflower","윤하 (YOUNHA)",4,2
"451","SUNSHINE","레인보우",5,2
"452","SUPER STAR","G-DRAGON",5,2
"453","Sweet Girl","B1A4",4,2
"454","Sweet Lies","EXO",4,2
"455","TALK THAT","시크릿",1,1
"456","Tell Me","인피니트",5,2
"457","Tell Me Tell Me","레인보우",5,1
"458","TENDER LOVE","EXO",5,2
"459","Thank You","포맨",5,2
"460","The DJ Is Mine","원더걸스",5,2
"461","The Feeling","비투비",4,2
